"Station","Air Quality","Longitude","Latitude","O3 Hour","O3 Quality","O3 Value","NO2 Hour","NO2 Quality","NO2 Value","PM10 Hour","PM10 Quality","PM10 Value","Generated","Date Time"
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"9h","Good",53,"9h","Good",17,"06/11/2018 10:00",1541495103
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"9h","Good",59,"9h","Good",8,"9h","Good",13,"06/11/2018 10:00",1541495103
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"10h","Good",40,NA,NA,NA,"06/11/2018 11:00",1541498703
"Barcelona - Eixample","Good",2.1538,41.3853,"8h","Good",28,"8h","Good",39,"10h","Good",19,"06/11/2018 11:00",1541498703
"Barcelona - Gràcia","Good",2.1534,41.3987,"10h","Good",25,"10h","Good",44,NA,NA,NA,"06/11/2018 11:00",1541498703
"Barcelona - Ciutadella","Good",2.1874,41.3864,"10h","Good",23,"10h","Good",48,NA,NA,NA,"06/11/2018 11:00",1541498703
"Barcelona - Vall Hebron","Good",2.148,41.4261,"10h","Good",39,"10h","Good",26,"10h","Good",12,"06/11/2018 11:00",1541498703
"Barcelona - Palau Reial","Good",2.1151,41.3875,"10h","Good",27,"10h","Good",28,"10h","Good",12,"06/11/2018 11:00",1541498703
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"10h","Good",45,"10h","Good",15,"06/11/2018 11:00",1541498703
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"10h","Good",50,"10h","Good",15,"10h","Good",12,"06/11/2018 11:00",1541498703
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"11h","Good",22,NA,NA,NA,"06/11/2018 12:00",1541502303
"Barcelona - Eixample","Good",2.1538,41.3853,"9h","--",NA,"9h","--",NA,"11h","Good",18,"06/11/2018 12:00",1541502303
"Barcelona - Gràcia","Good",2.1534,41.3987,"11h","Good",33,"11h","Good",34,NA,NA,NA,"06/11/2018 12:00",1541502303
"Barcelona - Ciutadella","Good",2.1874,41.3864,"11h","Good",41,"11h","Good",26,NA,NA,NA,"06/11/2018 12:00",1541502303
"Barcelona - Vall Hebron","Good",2.148,41.4261,"11h","Good",44,"11h","Good",21,"11h","Good",12,"06/11/2018 12:00",1541502303
"Barcelona - Palau Reial","Good",2.1151,41.3875,"11h","Good",36,"11h","Good",17,"11h","Good",15,"06/11/2018 12:00",1541502303
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"11h","Good",31,"11h","Good",13,"06/11/2018 12:00",1541502303
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"11h","Good",54,"11h","Good",9,"11h","Good",12,"06/11/2018 12:00",1541502303
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"12h","Good",18,NA,NA,NA,"06/11/2018 13:00",1541505903
"Barcelona - Eixample","Good",2.1538,41.3853,"12h","Good",30,"12h","Good",31,"12h","Good",17,"06/11/2018 13:00",1541505903
"Barcelona - Gràcia","Good",2.1534,41.3987,"12h","Good",41,"12h","Good",24,NA,NA,NA,"06/11/2018 13:00",1541505903
"Barcelona - Ciutadella","Good",2.1874,41.3864,"12h","Good",39,"12h","Good",28,NA,NA,NA,"06/11/2018 13:00",1541505903
"Barcelona - Vall Hebron","Good",2.148,41.4261,"12h","Good",45,"12h","Good",21,"12h","Good",12,"06/11/2018 13:00",1541505903
"Barcelona - Palau Reial","Good",2.1151,41.3875,"12h","Good",36,"12h","Good",19,"12h","Good",15,"06/11/2018 13:00",1541505903
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"12h","Good",22,"12h","Good",13,"06/11/2018 13:00",1541505903
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"12h","Good",55,"12h","Good",10,"12h","Good",11,"06/11/2018 13:00",1541505903
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"13h","Good",12,NA,NA,NA,"06/11/2018 14:00",1541509503
"Barcelona - Eixample","Good",2.1538,41.3853,"13h","Good",33,"13h","Good",29,"13h","Good",16,"06/11/2018 14:00",1541509503
"Barcelona - Gràcia","Good",2.1534,41.3987,"13h","Good",44,"13h","Good",24,NA,NA,NA,"06/11/2018 14:00",1541509503
"Barcelona - Ciutadella","Good",2.1874,41.3864,"13h","Good",48,"13h","Good",18,NA,NA,NA,"06/11/2018 14:00",1541509503
"Barcelona - Vall Hebron","Good",2.148,41.4261,"13h","Good",46,"13h","Good",18,"13h","Good",11,"06/11/2018 14:00",1541509503
"Barcelona - Palau Reial","Good",2.1151,41.3875,"13h","Good",44,"13h","Good",10,"14h","Good",15,"06/11/2018 14:00",1541509503
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"13h","Good",24,"14h","Good",11,"06/11/2018 14:00",1541509503
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"13h","Good",60,"13h","Good",6,"13h","Good",11,"06/11/2018 14:00",1541509503
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"14h","Good",13,NA,NA,NA,"06/11/2018 15:00",1541513102
"Barcelona - Eixample","Good",2.1538,41.3853,"14h","Good",39,"14h","Good",25,"14h","Good",15,"06/11/2018 15:00",1541513102
"Barcelona - Gràcia","Good",2.1534,41.3987,"14h","Good",46,"14h","Good",21,NA,NA,NA,"06/11/2018 15:00",1541513102
"Barcelona - Ciutadella","Good",2.1874,41.3864,"14h","Good",49,"14h","Good",19,NA,NA,NA,"06/11/2018 15:00",1541513102
"Barcelona - Vall Hebron","Good",2.148,41.4261,"14h","Good",50,"14h","Good",17,"14h","Good",11,"06/11/2018 15:00",1541513102
"Barcelona - Palau Reial","Good",2.1151,41.3875,"14h","Good",45,"14h","Good",10,"14h","Good",15,"06/11/2018 15:00",1541513102
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"14h","Good",21,"14h","Good",11,"06/11/2018 15:00",1541513102
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"14h","Good",64,"14h","Good",4,"14h","Good",11,"06/11/2018 15:00",1541513102
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"15h","Good",12,NA,NA,NA,"06/11/2018 16:00",1541516703
"Barcelona - Eixample","Good",2.1538,41.3853,"15h","Good",38,"15h","Good",29,"15h","Good",14,"06/11/2018 16:00",1541516703
"Barcelona - Gràcia","Good",2.1534,41.3987,"15h","Good",45,"15h","Good",23,NA,NA,NA,"06/11/2018 16:00",1541516703
"Barcelona - Ciutadella","Good",2.1874,41.3864,"15h","Good",47,"15h","Good",22,NA,NA,NA,"06/11/2018 16:00",1541516703
"Barcelona - Vall Hebron","Good",2.148,41.4261,"15h","Good",55,"15h","Good",13,"15h","Good",10,"06/11/2018 16:00",1541516703
"Barcelona - Palau Reial","Good",2.1151,41.3875,"15h","Good",44,"15h","Good",13,"15h","Good",14,"06/11/2018 16:00",1541516703
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"15h","Good",19,"15h","Good",11,"06/11/2018 16:00",1541516703
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"15h","Good",65,"15h","Good",6,"15h","Good",10,"06/11/2018 16:00",1541516703
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"16h","Good",16,NA,NA,NA,"06/11/2018 17:00",1541520303
"Barcelona - Eixample","Good",2.1538,41.3853,"16h","Good",37,"16h","Good",33,"16h","Good",14,"06/11/2018 17:00",1541520303
"Barcelona - Gràcia","Good",2.1534,41.3987,"16h","Good",51,"16h","Good",18,NA,NA,NA,"06/11/2018 17:00",1541520303
"Barcelona - Ciutadella","Good",2.1874,41.3864,"16h","Good",49,"16h","Good",23,NA,NA,NA,"06/11/2018 17:00",1541520303
"Barcelona - Vall Hebron","Good",2.148,41.4261,"16h","Good",57,"16h","Good",13,"16h","Good",10,"06/11/2018 17:00",1541520303
"Barcelona - Palau Reial","Good",2.1151,41.3875,"16h","Good",46,"16h","Good",12,"16h","Good",14,"06/11/2018 17:00",1541520303
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"16h","Good",20,"16h","Good",10,"06/11/2018 17:00",1541520303
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"16h","Good",66,"16h","Good",6,"16h","Good",9,"06/11/2018 17:00",1541520303
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"17h","Good",18,NA,NA,NA,"06/11/2018 18:00",1541523903
"Barcelona - Eixample","Good",2.1538,41.3853,"17h","Good",34,"17h","Good",35,"17h","Good",13,"06/11/2018 18:00",1541523903
"Barcelona - Gràcia","Good",2.1534,41.3987,"17h","Good",40,"17h","Good",29,NA,NA,NA,"06/11/2018 18:00",1541523903
"Barcelona - Ciutadella","Good",2.1874,41.3864,"17h","Good",47,"17h","Good",23,NA,NA,NA,"06/11/2018 18:00",1541523903
"Barcelona - Vall Hebron","Good",2.148,41.4261,"17h","Good",51,"17h","Good",18,"17h","Good",10,"06/11/2018 18:00",1541523903
"Barcelona - Palau Reial","Good",2.1151,41.3875,"17h","Good",43,"17h","Good",16,"17h","Good",14,"06/11/2018 18:00",1541523903
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"17h","Good",29,"17h","Good",10,"06/11/2018 18:00",1541523903
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"17h","Good",62,"17h","Good",8,"17h","Good",8,"06/11/2018 18:00",1541523903
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"18h","Good",28,NA,NA,NA,"06/11/2018 19:00",1541527503
"Barcelona - Eixample","Good",2.1538,41.3853,"18h","Good",23,"18h","Good",44,"18h","Good",13,"06/11/2018 19:00",1541527503
"Barcelona - Gràcia","Good",2.1534,41.3987,"18h","Good",34,"18h","Good",33,NA,NA,NA,"06/11/2018 19:00",1541527503
"Barcelona - Ciutadella","Good",2.1874,41.3864,"18h","Good",34,"18h","Good",37,NA,NA,NA,"06/11/2018 19:00",1541527503
"Barcelona - Vall Hebron","Good",2.148,41.4261,"18h","Good",42,"18h","Good",24,"18h","Good",10,"06/11/2018 19:00",1541527503
"Barcelona - Palau Reial","Good",2.1151,41.3875,"18h","Good",18,"18h","Good",43,"18h","Good",14,"06/11/2018 19:00",1541527503
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"18h","Good",40,"18h","Good",11,"06/11/2018 19:00",1541527503
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"18h","Good",58,"18h","Good",10,"18h","Good",8,"06/11/2018 19:00",1541527503
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"19h","Good",57,NA,NA,NA,"06/11/2018 20:00",1541531102
"Barcelona - Eixample","Good",2.1538,41.3853,"19h","Good",12,"19h","Good",56,"19h","Good",12,"06/11/2018 20:00",1541531102
"Barcelona - Gràcia","Good",2.1534,41.3987,"18h","Good",34,"18h","Good",33,NA,NA,NA,"06/11/2018 20:00",1541531102
"Barcelona - Ciutadella","Good",2.1874,41.3864,"19h","Good",19,"19h","Good",52,NA,NA,NA,"06/11/2018 20:00",1541531102
"Barcelona - Vall Hebron","Good",2.148,41.4261,"19h","Good",39,"19h","Good",30,"19h","Good",10,"06/11/2018 20:00",1541531102
"Barcelona - Palau Reial","Good",2.1151,41.3875,"19h","Good",20,"19h","Good",37,"19h","Good",13,"06/11/2018 20:00",1541531102
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"19h","Good",49,"19h","Good",10,"06/11/2018 20:00",1541531102
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"19h","Good",58,"19h","Good",10,"19h","Good",7,"06/11/2018 20:00",1541531102
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"20h","Good",46,NA,NA,NA,"06/11/2018 21:00",1541534702
"Barcelona - Eixample","Good",2.1538,41.3853,"20h","Good",10,"20h","Good",61,"20h","Good",12,"06/11/2018 21:00",1541534702
"Barcelona - Gràcia","Good",2.1534,41.3987,"18h","Good",34,"18h","Good",33,NA,NA,NA,"06/11/2018 21:00",1541534702
"Barcelona - Ciutadella","Good",2.1874,41.3864,"20h","Good",17,"20h","Good",55,NA,NA,NA,"06/11/2018 21:00",1541534702
"Barcelona - Vall Hebron","Good",2.148,41.4261,"20h","Good",50,"20h","Good",22,"20h","Good",9,"06/11/2018 21:00",1541534702
"Barcelona - Palau Reial","Good",2.1151,41.3875,"20h","Good",33,"20h","Good",26,"20h","Good",12,"06/11/2018 21:00",1541534702
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"20h","Good",52,"20h","Good",9,"06/11/2018 21:00",1541534702
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"20h","Good",64,"20h","Good",7,"20h","Good",7,"06/11/2018 21:00",1541534702
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"21h","Good",52,NA,NA,NA,"06/11/2018 22:00",1541538303
"Barcelona - Eixample","Good",2.1538,41.3853,"21h","Good",6,"21h","Good",70,"21h","Good",12,"06/11/2018 22:00",1541538303
"Barcelona - Gràcia","--",2.1534,41.3987,"19h","--",NA,"19h","--",NA,NA,NA,NA,"06/11/2018 22:00",1541538303
"Barcelona - Ciutadella","Good",2.1874,41.3864,"21h","Good",4,"21h","Good",70,NA,NA,NA,"06/11/2018 22:00",1541538303
"Barcelona - Vall Hebron","Good",2.148,41.4261,"21h","Good",48,"21h","Good",25,"21h","Good",8,"06/11/2018 22:00",1541538303
"Barcelona - Palau Reial","Good",2.1151,41.3875,"21h","Good",31,"21h","Good",31,"21h","Good",12,"06/11/2018 22:00",1541538303
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"21h","Good",56,"21h","Good",9,"06/11/2018 22:00",1541538303
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"21h","Good",62,"21h","Good",11,"21h","Good",6,"06/11/2018 22:00",1541538303
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"21h","Good",52,NA,NA,NA,"06/11/2018 23:00",1541541903
"Barcelona - Eixample","Good",2.1538,41.3853,"22h","Good",6,"22h","Good",66,"22h","Good",12,"06/11/2018 23:00",1541541903
"Barcelona - Gràcia","--",2.1534,41.3987,"20h","--",NA,"20h","--",NA,NA,NA,NA,"06/11/2018 23:00",1541541903
"Barcelona - Ciutadella","Good",2.1874,41.3864,"22h","Good",8,"22h","Good",64,NA,NA,NA,"06/11/2018 23:00",1541541903
"Barcelona - Vall Hebron","Good",2.148,41.4261,"22h","Good",54,"22h","Good",18,"22h","Good",8,"06/11/2018 23:00",1541541903
"Barcelona - Palau Reial","Good",2.1151,41.3875,"22h","Good",24,"22h","Good",36,"22h","Good",12,"06/11/2018 23:00",1541541903
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"22h","Good",60,"22h","Good",9,"06/11/2018 23:00",1541541903
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"22h","Good",63,"22h","Good",10,"22h","Good",6,"06/11/2018 23:00",1541541903
"Barcelona - Sants","--",2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/11/2018 0:00",1541545504
"Barcelona - Eixample","Good",2.1538,41.3853,"23h","Good",18,"23h","Good",46,"23h","Good",11,"07/11/2018 0:00",1541545504
"Barcelona - Gràcia","--",2.1534,41.3987,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/11/2018 0:00",1541545504
"Barcelona - Ciutadella","Good",2.1874,41.3864,"23h","Good",18,"23h","Good",54,NA,NA,NA,"07/11/2018 0:00",1541545504
"Barcelona - Vall Hebron","Good",2.148,41.4261,"23h","Good",59,"23h","Good",13,"23h","Good",8,"07/11/2018 0:00",1541545504
"Barcelona - Palau Reial","Good",2.1151,41.3875,"23h","Good",28,"23h","Good",30,"23h","Good",12,"07/11/2018 0:00",1541545504
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"23h","Good",48,"23h","Good",9,"07/11/2018 0:00",1541545504
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"23h","Good",69,"23h","Good",5,"23h","Good",6,"07/11/2018 0:00",1541545504
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"0h","Good",52,NA,NA,NA,"07/11/2018 1:00",1541549103
"Barcelona - Eixample","Good",2.1538,41.3853,"0h","Good",23,"0h","Good",41,"1h","Good",11,"07/11/2018 1:00",1541549103
"Barcelona - Gràcia","Good",2.1534,41.3987,"0h","Good",37,"0h","Good",30,NA,NA,NA,"07/11/2018 1:00",1541549103
"Barcelona - Ciutadella","Good",2.1874,41.3864,"0h","Good",23,"0h","Good",48,NA,NA,NA,"07/11/2018 1:00",1541549103
"Barcelona - Vall Hebron","Good",2.148,41.4261,"0h","Good",56,"0h","Good",16,"0h","Good",8,"07/11/2018 1:00",1541549103
"Barcelona - Palau Reial","Good",2.1151,41.3875,"0h","Good",42,"0h","Good",16,"0h","Good",12,"07/11/2018 1:00",1541549103
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"0h","Good",34,"0h","Good",9,"07/11/2018 1:00",1541549103
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"0h","Good",62,"0h","Good",10,"0h","Good",6,"07/11/2018 1:00",1541549103
"Barcelona - Sants","--",2.1331,41.3788,NA,NA,NA,"23h","--",NA,NA,NA,NA,"07/11/2018 2:00",1541552703
"Barcelona - Eixample","Good",2.1538,41.3853,"1h","Good",29,"1h","Good",34,"1h","Good",11,"07/11/2018 2:00",1541552703
"Barcelona - Gràcia","Good",2.1534,41.3987,"1h","Good",41,"1h","Good",26,NA,NA,NA,"07/11/2018 2:00",1541552703
"Barcelona - Ciutadella","Good",2.1874,41.3864,"1h","Good",17,"1h","Good",52,NA,NA,NA,"07/11/2018 2:00",1541552703
"Barcelona - Vall Hebron","Good",2.148,41.4261,"1h","Good",29,"1h","Good",41,"1h","Good",8,"07/11/2018 2:00",1541552703
"Barcelona - Palau Reial","Good",2.1151,41.3875,"1h","Good",40,"1h","Good",18,"1h","Good",12,"07/11/2018 2:00",1541552703
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"1h","Good",30,"1h","Good",9,"07/11/2018 2:00",1541552703
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"1h","Good",50,"1h","Good",23,"1h","Good",6,"07/11/2018 2:00",1541552703
"Barcelona - Sants","--",2.1331,41.3788,NA,NA,NA,"0h","--",NA,NA,NA,NA,"07/11/2018 3:00",1541556303
"Barcelona - Eixample","Good",2.1538,41.3853,"2h","Good",23,"2h","Good",41,"2h","Good",11,"07/11/2018 3:00",1541556303
"Barcelona - Gràcia","Good",2.1534,41.3987,"1h","Good",41,"1h","Good",26,NA,NA,NA,"07/11/2018 3:00",1541556303
"Barcelona - Ciutadella","Good",2.1874,41.3864,"2h","Good",5,"2h","Good",68,NA,NA,NA,"07/11/2018 3:00",1541556303
"Barcelona - Vall Hebron","Good",2.148,41.4261,"2h","Good",33,"2h","Good",37,"2h","Good",8,"07/11/2018 3:00",1541556303
"Barcelona - Palau Reial","Good",2.1151,41.3875,"2h","Good",47,"2h","Good",10,"2h","Good",11,"07/11/2018 3:00",1541556303
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"2h","Good",47,"2h","Good",9,"07/11/2018 3:00",1541556303
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"2h","Good",66,"2h","Good",9,"2h","Good",5,"07/11/2018 3:00",1541556303
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"3h","Good",21,NA,NA,NA,"07/11/2018 4:00",1541559903
"Barcelona - Eixample","Good",2.1538,41.3853,"3h","Good",28,"3h","Good",35,"3h","Good",11,"07/11/2018 4:00",1541559903
"Barcelona - Gràcia","Good",2.1534,41.3987,"1h","Good",41,"1h","Good",26,NA,NA,NA,"07/11/2018 4:00",1541559903
"Barcelona - Ciutadella","Good",2.1874,41.3864,"3h","Good",6,"3h","Good",57,NA,NA,NA,"07/11/2018 4:00",1541559903
"Barcelona - Vall Hebron","Good",2.148,41.4261,"3h","Good",24,"3h","Good",41,"4h","Good",7,"07/11/2018 4:00",1541559903
"Barcelona - Palau Reial","Good",2.1151,41.3875,"3h","Good",50,"3h","Good",7,"3h","Good",11,"07/11/2018 4:00",1541559903
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"3h","Good",42,"3h","Good",9,"07/11/2018 4:00",1541559903
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"3h","Good",70,"3h","Good",6,"3h","Good",5,"07/11/2018 4:00",1541559903
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"4h","Good",17,NA,NA,NA,"07/11/2018 5:00",1541563503
"Barcelona - Eixample","Good",2.1538,41.3853,"4h","Good",6,"4h","Good",61,"4h","Good",11,"07/11/2018 5:00",1541563503
"Barcelona - Gràcia","--",2.1534,41.3987,"2h","--",NA,"2h","--",NA,NA,NA,NA,"07/11/2018 5:00",1541563503
"Barcelona - Ciutadella","Good",2.1874,41.3864,"4h","Good",8,"4h","Good",49,NA,NA,NA,"07/11/2018 5:00",1541563503
"Barcelona - Vall Hebron","Good",2.148,41.4261,"4h","Good",58,"4h","Good",14,"4h","Good",8,"07/11/2018 5:00",1541563503
"Barcelona - Palau Reial","Good",2.1151,41.3875,"4h","Good",56,"4h","Good",3,"4h","Good",11,"07/11/2018 5:00",1541563503
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"4h","Good",53,"4h","Good",8,"07/11/2018 5:00",1541563503
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"4h","Good",70,"4h","Good",7,"4h","Good",5,"07/11/2018 5:00",1541563503
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"5h","Good",15,NA,NA,NA,"07/11/2018 6:00",1541567103
"Barcelona - Eixample","Good",2.1538,41.3853,"5h","Good",2,"5h","Good",67,"5h","Good",11,"07/11/2018 6:00",1541567103
"Barcelona - Gràcia","--",2.1534,41.3987,"3h","--",NA,"3h","--",NA,NA,NA,NA,"07/11/2018 6:00",1541567103
"Barcelona - Ciutadella","Good",2.1874,41.3864,"5h","Good",6,"5h","Good",45,NA,NA,NA,"07/11/2018 6:00",1541567103
"Barcelona - Vall Hebron","Good",2.148,41.4261,"5h","Good",35,"5h","Good",42,"5h","Good",8,"07/11/2018 6:00",1541567103
"Barcelona - Palau Reial","Good",2.1151,41.3875,"5h","Good",58,"5h","Good",3,"5h","Good",11,"07/11/2018 6:00",1541567103
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"5h","Good",44,"5h","Good",9,"07/11/2018 6:00",1541567103
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"5h","Good",69,"5h","Good",10,"5h","Good",5,"07/11/2018 6:00",1541567103
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"6h","Good",26,NA,NA,NA,"07/11/2018 7:00",1541570703
"Barcelona - Eixample","Good",2.1538,41.3853,"6h","Good",4,"6h","Good",64,"6h","Good",11,"07/11/2018 7:00",1541570703
"Barcelona - Gràcia","--",2.1534,41.3987,"4h","--",NA,"4h","--",NA,NA,NA,NA,"07/11/2018 7:00",1541570703
"Barcelona - Ciutadella","Good",2.1874,41.3864,"6h","Good",3,"6h","Good",50,NA,NA,NA,"07/11/2018 7:00",1541570703
"Barcelona - Vall Hebron","Good",2.148,41.4261,"6h","Good",35,"6h","Good",33,"6h","Good",8,"07/11/2018 7:00",1541570703
"Barcelona - Palau Reial","Good",2.1151,41.3875,"6h","Good",46,"6h","Good",16,"6h","Good",11,"07/11/2018 7:00",1541570703
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"6h","Good",51,"6h","Good",9,"07/11/2018 7:00",1541570703
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"6h","Good",60,"6h","Good",17,"6h","Good",5,"07/11/2018 7:00",1541570703
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"7h","Good",41,NA,NA,NA,"07/11/2018 8:00",1541574303
"Barcelona - Eixample","Good",2.1538,41.3853,"7h","Good",2,"7h","Good",77,"7h","Good",12,"07/11/2018 8:00",1541574303
"Barcelona - Gràcia","Good",2.1534,41.3987,"7h","Good",32,"7h","Good",38,NA,NA,NA,"07/11/2018 8:00",1541574303
"Barcelona - Ciutadella","Good",2.1874,41.3864,"7h","Good",1,"7h","Good",58,NA,NA,NA,"07/11/2018 8:00",1541574303
"Barcelona - Vall Hebron","Good",2.148,41.4261,"7h","Good",5,"7h","Good",80,"7h","Good",8,"07/11/2018 8:00",1541574303
"Barcelona - Palau Reial","Good",2.1151,41.3875,"7h","Good",37,"7h","Good",22,"7h","Good",11,"07/11/2018 8:00",1541574303
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"7h","Good",62,"7h","Good",10,"07/11/2018 8:00",1541574303
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"7h","Good",60,"7h","Good",18,"7h","Good",5,"07/11/2018 8:00",1541574303
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"8h","Good",65,NA,NA,NA,"07/11/2018 9:00",1541577903
"Barcelona - Eixample","Moderate",2.1538,41.3853,"8h","Good",2,"8h","Moderate",103,"8h","Good",13,"07/11/2018 9:00",1541577903
"Barcelona - Gràcia","Good",2.1534,41.3987,"8h","Good",8,"8h","Good",71,NA,NA,NA,"07/11/2018 9:00",1541577903
"Barcelona - Ciutadella","Good",2.1874,41.3864,"8h","Good",2,"8h","Good",65,NA,NA,NA,"07/11/2018 9:00",1541577903
"Barcelona - Vall Hebron","Good",2.148,41.4261,"8h","Good",13,"8h","Good",68,"8h","Good",8,"07/11/2018 9:00",1541577903
"Barcelona - Palau Reial","Good",2.1151,41.3875,"8h","Good",26,"8h","Good",40,"8h","Good",7,"07/11/2018 9:00",1541577903
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"8h","Good",72,"8h","Good",10,"07/11/2018 9:00",1541577903
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"8h","Good",68,"8h","Good",10,"8h","Good",5,"07/11/2018 9:00",1541577903
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"9h","Good",71,NA,NA,NA,"07/11/2018 10:00",1541581503
"Barcelona - Eixample","Moderate",2.1538,41.3853,"9h","Good",2,"9h","Moderate",112,"9h","Good",14,"07/11/2018 10:00",1541581503
"Barcelona - Gràcia","Good",2.1534,41.3987,"9h","Good",11,"9h","Good",69,NA,NA,NA,"07/11/2018 10:00",1541581503
"Barcelona - Ciutadella","Good",2.1874,41.3864,"9h","Good",2,"9h","Good",72,NA,NA,NA,"07/11/2018 10:00",1541581503
"Barcelona - Vall Hebron","Good",2.148,41.4261,"9h","Good",18,"9h","Good",63,"9h","Good",9,"07/11/2018 10:00",1541581503
"Barcelona - Palau Reial","Good",2.1151,41.3875,"9h","Good",28,"9h","Good",44,"9h","Good",7,"07/11/2018 10:00",1541581503
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"9h","Good",85,"10h","Good",12,"07/11/2018 10:00",1541581503
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"9h","Good",71,"9h","Good",5,"9h","Good",5,"07/11/2018 10:00",1541581503
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"10h","Good",40,NA,NA,NA,"07/11/2018 11:00",1541585103
"Barcelona - Eixample","Moderate",2.1538,41.3853,"10h","Good",4,"10h","Moderate",93,"10h","Good",15,"07/11/2018 11:00",1541585103
"Barcelona - Gràcia","Good",2.1534,41.3987,"10h","Good",24,"10h","Good",46,NA,NA,NA,"07/11/2018 11:00",1541585103
