"Order","Name","Gender","Year","Frequency"
4,"POL","Male",2009,146
5,"ERIC","Male",2009,130
6,"MARTI","Male",2009,116
7,"ARNAU","Male",2009,106
8,"JAN","Male",2009,100
9,"DANIEL","Male",2009,98
10,"HUGO","Male",2009,89
11,"DAVID","Male",2009,87
12,"PABLO","Male",2009,87
13,"BIEL","Male",2009,86
14,"ADRIA","Male",2009,83
15,"VICTOR","Male",2009,74
16,"ORIOL","Male",2009,71
17,"GUILLEM","Male",2009,70
18,"ROGER","Male",2009,69
19,"ALEJANDRO","Male",2009,68
20,"GERARD","Male",2009,67
21,"LUCAS","Male",2009,65
22,"BRUNO","Male",2009,63
23,"NICOLAS","Male",2009,62
24,"MAX","Male",2009,61
25,"JOAN","Male",2009,59
1,"MARC","Male",2010,195
2,"POL","Male",2010,148
3,"ALEX","Male",2010,143
4,"PAU","Male",2010,134
5,"MARTI","Male",2010,124
6,"ERIC","Male",2010,117
7,"ARNAU","Male",2010,110
8,"DANIEL","Male",2010,103
9,"GERARD","Male",2010,100
10,"JAN","Male",2010,98
11,"DAVID","Male",2010,90
12,"BIEL","Male",2010,88
13,"ALEJANDRO","Male",2010,80
14,"HUGO","Male",2010,79
15,"PABLO","Male",2010,78
16,"VICTOR","Male",2010,77
17,"ADRIA","Male",2010,69
18,"NIL","Male",2010,69
19,"BRUNO","Male",2010,68
20,"GUILLEM","Male",2010,66
21,"LUCAS","Male",2010,65
22,"NICOLAS","Male",2010,64
23,"MAX","Male",2010,60
24,"ORIOL","Male",2010,59
25,"IKER","Male",2010,56
1,"MARC","Male",2011,209
2,"ALEX","Male",2011,142
3,"POL","Male",2011,124
4,"PAU","Male",2011,118
5,"ERIC","Male",2011,113
6,"MARTI","Male",2011,103
7,"GERARD","Male",2011,99
8,"ARNAU","Male",2011,95
9,"BIEL","Male",2011,87
10,"DAVID","Male",2011,85
11,"DANIEL","Male",2011,83
12,"HUGO","Male",2011,79
13,"NICOLAS","Male",2011,78
14,"BRUNO","Male",2011,75
15,"JAN","Male",2011,73
16,"LUCAS","Male",2011,70
17,"PABLO","Male",2011,68
18,"ADRIA","Male",2011,67
19,"VICTOR","Male",2011,65
20,"ALEJANDRO","Male",2011,64
21,"NIL","Male",2011,62
22,"ALEIX","Male",2011,61
23,"ORIOL","Male",2011,60
24,"GUILLEM","Male",2011,58
25,"LEO","Male",2011,58
1,"MARC","Male",2012,206
2,"POL","Male",2012,138
3,"ERIC","Male",2012,125
4,"ALEX","Male",2012,120
5,"PAU","Male",2012,110
6,"ARNAU","Male",2012,101
7,"MARTI","Male",2012,99
8,"GERARD","Male",2012,98
9,"JAN","Male",2012,98
10,"BIEL","Male",2012,95
11,"HUGO","Male",2012,88
12,"DANIEL","Male",2012,81
13,"NICOLAS","Male",2012,73
14,"NIL","Male",2012,72
15,"LEO","Male",2012,71
16,"VICTOR","Male",2012,68
17,"PABLO","Male",2012,66
18,"BRUNO","Male",2012,65
19,"ALEIX","Male",2012,64
20,"LUCAS","Male",2012,62
21,"ORIOL","Male",2012,60
22,"DAVID","Male",2012,59
23,"GUILLEM","Male",2012,58
24,"JOEL","Male",2012,58
25,"ADRIA","Male",2012,56
1,"MARC","Male",2013,175
2,"PAU","Male",2013,129
3,"POL","Male",2013,126
4,"ALEX","Male",2013,122
5,"ERIC","Male",2013,122
6,"ARNAU","Male",2013,100
7,"BIEL","Male",2013,95
8,"MARTI","Male",2013,95
9,"JAN","Male",2013,92
10,"HUGO","Male",2013,89
11,"GERARD","Male",2013,86
12,"DAVID","Male",2013,80
13,"LUCAS","Male",2013,77
14,"LEO","Male",2013,76
15,"DANIEL","Male",2013,75
16,"NIL","Male",2013,73
17,"BRUNO","Male",2013,72
18,"VICTOR","Male",2013,64
19,"NICOLAS","Male",2013,62
20,"MAX","Male",2013,59
21,"PABLO","Male",2013,56
22,"ALEIX","Male",2013,53
23,"MATEO","Male",2013,52
24,"JOEL","Male",2013,51
25,"MARIO","Male",2013,46
1,"MARC","Male",2014,192
2,"POL","Male",2014,137
3,"ALEX","Male",2014,135
4,"ERIC","Male",2014,123
5,"MARTI","Male",2014,116
6,"PAU","Male",2014,104
7,"BIEL","Male",2014,90
8,"DANIEL","Male",2014,89
9,"JAN","Male",2014,89
10,"HUGO","Male",2014,82
11,"LEO","Male",2014,78
12,"NIL","Male",2014,77
13,"ARNAU","Male",2014,73
14,"LUCAS","Male",2014,73
15,"GERARD","Male",2014,71
16,"ADRIA","Male",2014,68
17,"ALEIX","Male",2014,63
18,"NICOLAS","Male",2014,62
19,"BRUNO","Male",2014,61
20,"PABLO","Male",2014,61
21,"DAVID","Male",2014,57
22,"MAX","Male",2014,57
23,"MATEO","Male",2014,52
24,"VICTOR","Male",2014,52
25,"GUILLEM","Male",2014,47
1,"MARC","Male",2015,172
2,"MARTI","Male",2015,133
3,"ALEX","Male",2015,110
4,"ERIC","Male",2015,109
5,"PAU","Male",2015,108
6,"HUGO","Male",2015,107
7,"BIEL","Male",2015,99
8,"ARNAU","Male",2015,93
9,"JAN","Male",2015,88
10,"NIL","Male",2015,88
11,"POL","Male",2015,88
12,"DANIEL","Male",2015,83
13,"LEO","Male",2015,80
14,"BRUNO","Male",2015,79
15,"LUCAS","Male",2015,79
16,"MAX","Male",2015,79
17,"PABLO","Male",2015,67
18,"MATEO","Male",2015,65
19,"GERARD","Male",2015,64
20,"ALEIX","Male",2015,63
21,"DAVID","Male",2015,60
22,"ADRIA","Male",2015,57
23,"ROC","Male",2015,57
24,"ROGER","Male",2015,53
25,"ALEJANDRO","Male",2015,50
1,"MARC","Male",2016,148
2,"ALEX","Male",2016,140
3,"POL","Male",2016,110
4,"ERIC","Male",2016,109
5,"PAU","Male",2016,107
6,"MARTI","Male",2016,104
7,"BIEL","Male",2016,99
8,"BRUNO","Male",2016,93
9,"LUCAS","Male",2016,93
10,"JAN","Male",2016,91
11,"NIL","Male",2016,88
12,"LEO","Male",2016,83
13,"ARNAU","Male",2016,76
14,"MAX","Male",2016,75
15,"MATEO","Male",2016,69
16,"DANIEL","Male",2016,68
17,"HUGO","Male",2016,66
18,"ALEIX","Male",2016,64
19,"GAEL","Male",2016,64
20,"PABLO","Male",2016,59
21,"GERARD","Male",2016,57
22,"ADRIA","Male",2016,51
23,"ROC","Male",2016,48
24,"GABRIEL","Male",2016,44
25,"ROGER","Male",2016,44
